IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
354850;SP;SANTOS;5016290;FRANCISCO CARLOS MORAES DOS SANTOS;FRANCISCO CARLOS MORAES DOS SANTOS;;;M;AVENIDA DOUTOR PEDRO LESSA;523;PONTA DA PRAIA;11025001;-23.96684;-46.31542
354850;SP;SANTOS;5019656;RAFAELA SAPAG DAGUAR;RAFAELA SAPAG DAGUAR;;;M;RUA AZEVEDO SODRE;121;GONZAGA;11055051;-23.96627;-46.33067
354850;SP;SANTOS;5020301;CLIOS CLINICA OFTALMOLOGICA S S LTDA EPP;CLIOS CLINICA OFTALMOLOGICA S S LTDA EPP;10173218000100;;M;RUA FIRMINO BARBOSA;155;BOQUEIRAO;11055130;-23.96712;-46.32650
354850;SP;SANTOS;5021189;PAULO ROBERTO BARBOSA MARASCA;PAULO ROBERTO BARBOSA MARASCA;;;M;AVENIDA DOUTOR EPITACIO PESSOA;686;PONTA DA PRAIA;11030602;-23.98325;-46.30715
354850;SP;SANTOS;3935604;AURORA DIAGNOSTICO EM OUVIDOS NARIZ E GARGANTA LTDA;AURORA DIAGNOSTICO EM OUVIDOS NARIZ E GARGANTA LTDA;04532908000105;;M;AVENIDA DONA ANA COSTA;151;ENCRUZILHADA;11060001;-23.94517;-46.33019
354850;SP;SANTOS;3332705;VERONICA COSTA GUIMARAES;VERONICA COSTA GUIMARAES;35701862000126;;M;AVENIDA DOUTOR BERNARDINO DE CAMPOS;562;JOSE MENINO;11065001;-23.95828;-46.33779
354850;SP;SANTOS;3374262;CLINICA DE GASTROENTEROLOGIA DR SUZUKI LTDA;CLINICA DE GASTROENTEROLOGIA DR SUZUKI LTDA;01409935000199;;M;AVENIDA DONA ANA COSTA;414;GONZAGA;11060002;-23.94517;-46.33019
354850;SP;SANTOS;3376400;URO CENTER;URO CENTER INSTUTO DE UROLOGIA DA BAIXADA SANTISTA LTDA;01571047000178;;M;RUA DOUTOR OLYNTHO RODRIGUES DANTAS;343;ENCRUZILHADA;11050220;-23.95322;-46.32958
354850;SP;SANTOS;3384411;BOTURAO BOTURAO HEMATOLOGIA CLINICO LTDA;BOTURAO BOTURAO HEMATOLOGIA CLINICO LTDA;05631402000108;;M;AVENIDA DONA ANA COSTA;361;GONZAGA;11060003;-23.94517;-46.33019
354850;SP;SANTOS;3926788;I A N INSTITUTO AVANCADO NEUROLOGICO DE SANTOS LTDA ME;I A N INSTITUTO AVANCADO NEUROLOGICO DE SANTOS LTDA ME;68026020000175;;M;RUA GOIAS;119;GONZAGA;11050101;-23.96335;-46.33209
